t,p_total_kw,p_central_setpoint_kw,n_active,cluster_cap_kw,p_cons_ev_skoda,p_cons_ev_tesla,p_cons_ev_vw,p_mc_setpoint_ev_skoda,p_mc_setpoint_ev_tesla,p_mc_setpoint_ev_vw,p_charger_setpoint_ev_skoda,p_charger_setpoint_ev_tesla,p_charger_setpoint_ev_vw,rel_priority_ev_skoda,rel_priority_ev_tesla,rel_priority_ev_vw
16.0,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.1,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.2,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.3,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.400000000000002,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.5,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.6,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.7,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.8,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
16.900000000000002,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
17.0,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
17.1,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
